Processed: Particle 23, Iteration 22, Reevaluation 1004, port1261
Processed: Particle 25, Iteration 22, Reevaluation 1004, port1263
Processed: Particle 2, Iteration 22, Reevaluation 1005, port1241
Processed: Particle 3, Iteration 22, Reevaluation 1005, port1242
Processed: Particle 1, Iteration 22, Reevaluation 1005, port1240
Processed: Particle 4, Iteration 22, Reevaluation 1005, port1243
Processed: Particle 5, Iteration 22, Reevaluation 1005, port1244
Processed: Particle 6, Iteration 22, Reevaluation 1005, port1245
Processed: Particle 7, Iteration 22, Reevaluation 1005, port1246
Processed: Particle 9, Iteration 22, Reevaluation 1005, port1248
Processed: Particle 8, Iteration 22, Reevaluation 1005, port1247
Processed: Particle 10, Iteration 22, Reevaluation 1005, port1249
Processed: Particle 12, Iteration 22, Reevaluation 1005, port1251
Processed: Particle 11, Iteration 22, Reevaluation 1005, port1250
Processed: Particle 13, Iteration 22, Reevaluation 1005, port1252
Processed: Particle 14, Iteration 22, Reevaluation 1005, port1253
Processed: Particle 15, Iteration 22, Reevaluation 1005, port1254
Processed: Particle 16, Iteration 22, Reevaluation 1005, port1255
Processed: Particle 17, Iteration 22, Reevaluation 1005, port1256
Processed: Particle 18, Iteration 22, Reevaluation 1005, port1257
Processed: Particle 19, Iteration 22, Reevaluation 1005, port1258
Processed: Particle 20, Iteration 22, Reevaluation 1005, port1259
Processed: Particle 21, Iteration 22, Reevaluation 1005, port1260
Processed: Particle 22, Iteration 22, Reevaluation 1005, port1261
Processed: Particle 23, Iteration 22, Reevaluation 1005, port1262
Processed: Particle 24, Iteration 22, Reevaluation 1005, port1263
Processed: Particle 25, Iteration 22, Reevaluation 1005, port1264
Processed: Particle 2, Iteration 22, Reevaluation 1006, port1242
Processed: Particle 3, Iteration 22, Reevaluation 1006, port1243
Processed: Particle 1, Iteration 22, Reevaluation 1006, port1241
Processed: Particle 4, Iteration 22, Reevaluation 1006, port1244
Processed: Particle 6, Iteration 22, Reevaluation 1006, port1246
Processed: Particle 5, Iteration 22, Reevaluation 1006, port1245
Processed: Particle 7, Iteration 22, Reevaluation 1006, port1247
Processed: Particle 8, Iteration 22, Reevaluation 1006, port1248
Processed: Particle 9, Iteration 22, Reevaluation 1006, port1249
Processed: Particle 10, Iteration 22, Reevaluation 1006, port1250
Processed: Particle 11, Iteration 22, Reevaluation 1006, port1251
Processed: Particle 12, Iteration 22, Reevaluation 1006, port1252
Processed: Particle 14, Iteration 22, Reevaluation 1006, port1254
Processed: Particle 13, Iteration 22, Reevaluation 1006, port1253
Processed: Particle 15, Iteration 22, Reevaluation 1006, port1255
Processed: Particle 16, Iteration 22, Reevaluation 1006, port1256
Processed: Particle 18, Iteration 22, Reevaluation 1006, port1258
Processed: Particle 17, Iteration 22, Reevaluation 1006, port1257
Processed: Particle 19, Iteration 22, Reevaluation 1006, port1259
Processed: Particle 20, Iteration 22, Reevaluation 1006, port1260
Processed: Particle 21, Iteration 22, Reevaluation 1006, port1261
Processed: Particle 23, Iteration 22, Reevaluation 1006, port1263
Processed: Particle 22, Iteration 22, Reevaluation 1006, port1262
Processed: Particle 24, Iteration 22, Reevaluation 1006, port1264
Processed: Particle 25, Iteration 22, Reevaluation 1006, port1265
Processed: Particle 1, Iteration 22, Reevaluation 1007, port1242
Processed: Particle 2, Iteration 22, Reevaluation 1007, port1243
Processed: Particle 3, Iteration 22, Reevaluation 1007, port1244
Processed: Particle 4, Iteration 22, Reevaluation 1007, port1245
Processed: Particle 6, Iteration 22, Reevaluation 1007, port1247
Processed: Particle 5, Iteration 22, Reevaluation 1007, port1246
Processed: Particle 7, Iteration 22, Reevaluation 1007, port1248
Processed: Particle 8, Iteration 22, Reevaluation 1007, port1249
Processed: Particle 9, Iteration 22, Reevaluation 1007, port1250
Processed: Particle 10, Iteration 22, Reevaluation 1007, port1251
Processed: Particle 12, Iteration 22, Reevaluation 1007, port1253
Processed: Particle 11, Iteration 22, Reevaluation 1007, port1252
Processed: Particle 13, Iteration 22, Reevaluation 1007, port1254
Processed: Particle 14, Iteration 22, Reevaluation 1007, port1255
Processed: Particle 15, Iteration 22, Reevaluation 1007, port1256
Processed: Particle 16, Iteration 22, Reevaluation 1007, port1257
Processed: Particle 17, Iteration 22, Reevaluation 1007, port1258
Processed: Particle 18, Iteration 22, Reevaluation 1007, port1259
Processed: Particle 19, Iteration 22, Reevaluation 1007, port1260
Processed: Particle 20, Iteration 22, Reevaluation 1007, port1261
Processed: Particle 21, Iteration 22, Reevaluation 1007, port1262
Processed: Particle 23, Iteration 22, Reevaluation 1007, port1264
Processed: Particle 22, Iteration 22, Reevaluation 1007, port1263
Processed: Particle 24, Iteration 22, Reevaluation 1007, port1265
Processed: Particle 25, Iteration 22, Reevaluation 1007, port1266
Processed: Particle 2, Iteration 22, Reevaluation 1008, port1244
Processed: Particle 3, Iteration 22, Reevaluation 1008, port1245
Processed: Particle 1, Iteration 22, Reevaluation 1008, port1243
Processed: Particle 4, Iteration 22, Reevaluation 1008, port1246
Processed: Particle 6, Iteration 22, Reevaluation 1008, port1248
Processed: Particle 5, Iteration 22, Reevaluation 1008, port1247
Processed: Particle 7, Iteration 22, Reevaluation 1008, port1249
Processed: Particle 9, Iteration 22, Reevaluation 1008, port1251
Processed: Particle 8, Iteration 22, Reevaluation 1008, port1250
Processed: Particle 11, Iteration 22, Reevaluation 1008, port1253
Processed: Particle 10, Iteration 22, Reevaluation 1008, port1252
Processed: Particle 12, Iteration 22, Reevaluation 1008, port1254
Processed: Particle 14, Iteration 22, Reevaluation 1008, port1256
Processed: Particle 13, Iteration 22, Reevaluation 1008, port1255
Processed: Particle 15, Iteration 22, Reevaluation 1008, port1257
Processed: Particle 16, Iteration 22, Reevaluation 1008, port1258
Processed: Particle 17, Iteration 22, Reevaluation 1008, port1259
Processed: Particle 18, Iteration 22, Reevaluation 1008, port1260
Processed: Particle 19, Iteration 22, Reevaluation 1008, port1261
Processed: Particle 20, Iteration 22, Reevaluation 1008, port1262
Processed: Particle 21, Iteration 22, Reevaluation 1008, port1263
Processed: Particle 23, Iteration 22, Reevaluation 1008, port1265
Processed: Particle 22, Iteration 22, Reevaluation 1008, port1264
Processed: Particle 24, Iteration 22, Reevaluation 1008, port1266
Processed: Particle 25, Iteration 22, Reevaluation 1008, port1267
Processed: Particle 3, Iteration 22, Reevaluation 1009, port1246
Processed: Particle 2, Iteration 22, Reevaluation 1009, port1245
Processed: Particle 1, Iteration 22, Reevaluation 1009, port1244
Processed: Particle 6, Iteration 22, Reevaluation 1009, port1249
Processed: Particle 5, Iteration 22, Reevaluation 1009, port1248
Processed: Particle 4, Iteration 22, Reevaluation 1009, port1247
Processed: Particle 7, Iteration 22, Reevaluation 1009, port1250
Processed: Particle 9, Iteration 22, Reevaluation 1009, port1252
Processed: Particle 8, Iteration 22, Reevaluation 1009, port1251
Processed: Particle 10, Iteration 22, Reevaluation 1009, port1253
Processed: Particle 11, Iteration 22, Reevaluation 1009, port1254
Processed: Particle 12, Iteration 22, Reevaluation 1009, port1255
Processed: Particle 13, Iteration 22, Reevaluation 1009, port1256
Processed: Particle 15, Iteration 22, Reevaluation 1009, port1258
Processed: Particle 14, Iteration 22, Reevaluation 1009, port1257
Processed: Particle 17, Iteration 22, Reevaluation 1009, port1260
Processed: Particle 16, Iteration 22, Reevaluation 1009, port1259
Processed: Particle 18, Iteration 22, Reevaluation 1009, port1261
Processed: Particle 19, Iteration 22, Reevaluation 1009, port1262
Processed: Particle 20, Iteration 22, Reevaluation 1009, port1263
Processed: Particle 21, Iteration 22, Reevaluation 1009, port1264
Processed: Particle 23, Iteration 22, Reevaluation 1009, port1266
Processed: Particle 22, Iteration 22, Reevaluation 1009, port1265
Processed: Particle 24, Iteration 22, Reevaluation 1009, port1267
Processed: Particle 25, Iteration 22, Reevaluation 1009, port1268
Processed: Particle 2, Iteration 22, Reevaluation 1010, port1236
Processed: Particle 1, Iteration 22, Reevaluation 1010, port1235
Processed: Particle 3, Iteration 22, Reevaluation 1010, port1237
Processed: Particle 4, Iteration 22, Reevaluation 1010, port1238
Processed: Particle 6, Iteration 22, Reevaluation 1010, port1240
Processed: Particle 5, Iteration 22, Reevaluation 1010, port1239
Processed: Particle 7, Iteration 22, Reevaluation 1010, port1241
Processed: Particle 9, Iteration 22, Reevaluation 1010, port1243
Processed: Particle 8, Iteration 22, Reevaluation 1010, port1242
Processed: Particle 10, Iteration 22, Reevaluation 1010, port1244
Processed: Particle 11, Iteration 22, Reevaluation 1010, port1245
Processed: Particle 12, Iteration 22, Reevaluation 1010, port1246
Processed: Particle 13, Iteration 22, Reevaluation 1010, port1247
Processed: Particle 14, Iteration 22, Reevaluation 1010, port1248
Processed: Particle 15, Iteration 22, Reevaluation 1010, port1249
Processed: Particle 16, Iteration 22, Reevaluation 1010, port1250
Processed: Particle 17, Iteration 22, Reevaluation 1010, port1251
Processed: Particle 18, Iteration 22, Reevaluation 1010, port1252
Processed: Particle 19, Iteration 22, Reevaluation 1010, port1253
Processed: Particle 21, Iteration 22, Reevaluation 1010, port1255
Processed: Particle 20, Iteration 22, Reevaluation 1010, port1254
Processed: Particle 22, Iteration 22, Reevaluation 1010, port1256
Processed: Particle 23, Iteration 22, Reevaluation 1010, port1257
Processed: Particle 24, Iteration 22, Reevaluation 1010, port1258
Processed: Particle 25, Iteration 22, Reevaluation 1010, port1259
Processed: Particle 22, Iteration 22, Reevaluation 2, port1258
Processed: Particle 8, Iteration 22, Reevaluation 2, port1244
Processed: Particle 9, Iteration 22, Reevaluation 2, port1245
Processed: Particle 15, Iteration 22, Reevaluation 2, port1251
Processed: Particle 18, Iteration 22, Reevaluation 2, port1254
Processed: Particle 8, Iteration 22, Reevaluation 3, port1245
Processed: Particle 22, Iteration 22, Reevaluation 3, port1259
Processed: Particle 9, Iteration 22, Reevaluation 3, port1246
Processed: Particle 15, Iteration 22, Reevaluation 3, port1252
Processed: Particle 18, Iteration 22, Reevaluation 3, port1255
Processed: Particle 22, Iteration 22, Reevaluation 4, port1260
Processed: Particle 8, Iteration 22, Reevaluation 4, port1246
Processed: Particle 9, Iteration 22, Reevaluation 4, port1247
Processed: Particle 15, Iteration 22, Reevaluation 4, port1253
Processed: Particle 18, Iteration 22, Reevaluation 4, port1256
Processed: Particle 22, Iteration 22, Reevaluation 5, port1261
Processed: Particle 9, Iteration 22, Reevaluation 5, port1248
Processed: Particle 8, Iteration 22, Reevaluation 5, port1247
Processed: Particle 15, Iteration 22, Reevaluation 5, port1254
Processed: Particle 18, Iteration 22, Reevaluation 5, port1257
Processed: Particle 9, Iteration 22, Reevaluation 6, port1249
Processed: Particle 8, Iteration 22, Reevaluation 6, port1248
Processed: Particle 22, Iteration 22, Reevaluation 6, port1262
Processed: Particle 15, Iteration 22, Reevaluation 6, port1255
Processed: Particle 18, Iteration 22, Reevaluation 6, port1258
Processed: Particle 22, Iteration 22, Reevaluation 7, port1263
Processed: Particle 8, Iteration 22, Reevaluation 7, port1249
Processed: Particle 9, Iteration 22, Reevaluation 7, port1250
Processed: Particle 15, Iteration 22, Reevaluation 7, port1256
Processed: Particle 18, Iteration 22, Reevaluation 7, port1259
Processed: Particle 8, Iteration 22, Reevaluation 8, port1250
Processed: Particle 9, Iteration 22, Reevaluation 8, port1251
Processed: Particle 22, Iteration 22, Reevaluation 8, port1264
Processed: Particle 15, Iteration 22, Reevaluation 8, port1257
Processed: Particle 18, Iteration 22, Reevaluation 8, port1260
Processed: Particle 22, Iteration 22, Reevaluation 9, port1265
Processed: Particle 8, Iteration 22, Reevaluation 9, port1251
Processed: Particle 9, Iteration 22, Reevaluation 9, port1252
Processed: Particle 15, Iteration 22, Reevaluation 9, port1258
Processed: Particle 18, Iteration 22, Reevaluation 9, port1261
Processed: Particle 22, Iteration 22, Reevaluation 10, port1256
Processed: Particle 8, Iteration 22, Reevaluation 10, port1242
Processed: Particle 9, Iteration 22, Reevaluation 10, port1243
Processed: Particle 15, Iteration 22, Reevaluation 10, port1249
Processed: Particle 18, Iteration 22, Reevaluation 10, port1252
Processed: Particle 8, Iteration 22, Reevaluation 11, port1243
Processed: Particle 9, Iteration 22, Reevaluation 11, port1244
Processed: Particle 22, Iteration 22, Reevaluation 11, port1257
Processed: Particle 18, Iteration 22, Reevaluation 11, port1253
Processed: Particle 15, Iteration 22, Reevaluation 11, port1250
Processed: Particle 1, Iteration 23, Reevaluation 1001, port1236
Processed: Particle 2, Iteration 23, Reevaluation 1001, port1237
Processed: Particle 3, Iteration 23, Reevaluation 1001, port1238
Processed: Particle 4, Iteration 23, Reevaluation 1001, port1239
Processed: Particle 6, Iteration 23, Reevaluation 1001, port1241
Processed: Particle 5, Iteration 23, Reevaluation 1001, port1240
Processed: Particle 7, Iteration 23, Reevaluation 1001, port1242
Processed: Particle 9, Iteration 23, Reevaluation 1001, port1244
Processed: Particle 8, Iteration 23, Reevaluation 1001, port1243
Processed: Particle 10, Iteration 23, Reevaluation 1001, port1245
Processed: Particle 11, Iteration 23, Reevaluation 1001, port1246
Processed: Particle 12, Iteration 23, Reevaluation 1001, port1247
Processed: Particle 13, Iteration 23, Reevaluation 1001, port1248
Processed: Particle 15, Iteration 23, Reevaluation 1001, port1250
Processed: Particle 14, Iteration 23, Reevaluation 1001, port1249
Processed: Particle 16, Iteration 23, Reevaluation 1001, port1251
Processed: Particle 18, Iteration 23, Reevaluation 1001, port1253
Processed: Particle 17, Iteration 23, Reevaluation 1001, port1252
Processed: Particle 19, Iteration 23, Reevaluation 1001, port1254
Processed: Particle 20, Iteration 23, Reevaluation 1001, port1255
Processed: Particle 21, Iteration 23, Reevaluation 1001, port1256
Processed: Particle 22, Iteration 23, Reevaluation 1001, port1257
Processed: Particle 23, Iteration 23, Reevaluation 1001, port1258
Processed: Particle 24, Iteration 23, Reevaluation 1001, port1259
Processed: Particle 25, Iteration 23, Reevaluation 1001, port1260
Processed: Particle 3, Iteration 23, Reevaluation 1002, port1239
Processed: Particle 2, Iteration 23, Reevaluation 1002, port1238
Processed: Particle 1, Iteration 23, Reevaluation 1002, port1237
Processed: Particle 4, Iteration 23, Reevaluation 1002, port1240
Processed: Particle 6, Iteration 23, Reevaluation 1002, port1242
Processed: Particle 5, Iteration 23, Reevaluation 1002, port1241
Processed: Particle 7, Iteration 23, Reevaluation 1002, port1243
Processed: Particle 9, Iteration 23, Reevaluation 1002, port1245
Processed: Particle 8, Iteration 23, Reevaluation 1002, port1244
Processed: Particle 10, Iteration 23, Reevaluation 1002, port1246
Processed: Particle 11, Iteration 23, Reevaluation 1002, port1247
Processed: Particle 12, Iteration 23, Reevaluation 1002, port1248
